code_programme,titre_programme,theme
169,"Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation","Anciens combattants, mémoire et liens avec la Nation"
158,Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,"Anciens combattants, mémoire et liens avec la Nation"
369,Amortissement de la dette de l’État liée à la covid-19,Engagements financiers de l'Etat
344,Fonds de soutien relatif aux prêts et contrats financiers structurés à risque,Engagements financiers de l'Etat
338,Augmentation de capital de la Banque européenne d'investissement,Engagements financiers de l'Etat
336,Dotation du Mécanisme européen de stabilité,Engagements financiers de l'Etat
145,Épargne,Engagements financiers de l'Etat
117,Charge de la dette et trésorerie de l'État (crédits évaluatifs),Engagements financiers de l'Etat
114,Appels en garantie de l'État (crédits évaluatifs),Engagements financiers de l'Etat
359,Présidence française du Conseil de l'Union européenne en 2022,Direction de l'action du Gouvernement
308,Protection des droits et libertés,Direction de l'action du Gouvernement
129,Coordination du travail gouvernemental,Direction de l'action du Gouvernement
138,Emploi outre-mer,Outre-mer
123,Conditions de vie outre-mer,Outre-mer
212,Soutien de la politique de la défense,Défense
178,Préparation et emploi des forces,Défense
146,Équipement des forces,Défense
144,Environnement et prospective de la politique de défense,Défense
185,Diplomatie culturelle et d'influence,Action extérieure de l'Etat
151,Français à l'étranger et affaires consulaires,Action extérieure de l'Etat
105,Action de la France en Europe et dans le monde,Action extérieure de l'Etat
370,"Restitution des ""biens mal acquis""",Aide publique au développement
365,Renforcement des fonds propres de l'Agence française de développement,Aide publique au développement
209,Solidarité à l'égard des pays en développement,Aide publique au développement
110,Aide économique et financière au développement,Aide publique au développement
340,Haut Conseil des finances publiques,Conseil et contrôle de l'Etat
165,Haut Conseil des finances publiques,Conseil et contrôle de l'Etat
164,Cour des comptes et autres juridictions financières,Conseil et contrôle de l'Etat
126,"Conseil économique, social et environnemental",Conseil et contrôle de l'Etat
361,Transmission des savoirs et démocratisation de la culture,Culture
224,Soutien aux politiques du ministère de la culture,Culture
175,Patrimoines,Culture
131,Création,Culture
